,ip.dst,ip.src,udp.srcport,udp.dstport,dns.time
493,173.27.225.118,172.31.0.2,53.0,4527.0,0.000375
495,173.27.225.118,172.31.0.2,53.0,37131.0,0.385027
497,173.27.225.118,172.31.0.2,53.0,3184.0,0.000416
499,173.27.225.118,172.31.0.2,53.0,40486.0,0.000378
501,173.27.225.118,172.31.0.2,53.0,23848.0,0.077358
503,173.27.225.118,172.31.0.2,53.0,30488.0,0.000456
505,173.27.225.118,172.31.0.2,53.0,62501.0,0.000439
507,173.27.225.118,172.31.0.2,53.0,54159.0,0.000393
509,173.27.225.118,172.31.0.2,53.0,49202.0,0.000497
511,173.27.225.118,172.31.0.2,53.0,17172.0,0.015144
513,173.27.225.118,172.31.0.2,53.0,64398.0,0.000296
515,173.27.225.118,172.31.0.2,53.0,60143.0,0.003033
517,173.27.225.118,172.31.0.2,53.0,36023.0,0.038584
519,173.27.225.118,172.31.0.2,53.0,31474.0,0.000368
521,173.27.225.118,172.31.0.2,53.0,25152.0,0.002235
523,173.27.225.118,172.31.0.2,53.0,31582.0,0.002326
525,173.27.225.118,172.31.0.2,53.0,26217.0,0.002129
527,173.27.225.118,172.31.0.2,53.0,56760.0,0.002213
529,173.27.225.118,172.31.0.2,53.0,59177.0,0.002154
531,173.27.225.118,172.31.0.2,53.0,53002.0,0.004395
533,173.27.225.118,172.31.0.2,53.0,1118.0,0.002284
535,173.27.225.118,172.31.0.2,53.0,3892.0,0.001015
539,173.27.225.118,172.31.0.2,53.0,49921.0,0.033267
540,173.27.225.118,172.31.0.2,53.0,61332.0,0.003671
541,173.27.225.118,172.31.0.2,53.0,7661.0,0.083078
543,173.27.225.118,172.31.0.2,53.0,7066.0,0.014343
545,173.27.225.118,172.31.0.2,53.0,43423.0,0.000311
548,173.27.225.118,172.31.0.2,53.0,48593.0,0.012232
549,173.27.225.118,172.31.0.2,53.0,6767.0,0.034725
551,173.27.225.118,172.31.0.2,53.0,3375.0,0.079107
553,173.27.225.118,172.31.0.2,53.0,1399.0,0.012549
555,173.27.225.118,172.31.0.2,53.0,62188.0,0.074324
557,173.27.225.118,172.31.0.2,53.0,57962.0,0.176324
559,173.27.225.118,172.31.0.2,53.0,16111.0,0.001207
563,173.27.225.118,172.31.0.2,53.0,40582.0,0.074611
564,173.27.225.118,172.31.0.2,53.0,5075.0,0.101618
565,173.27.225.118,172.31.0.2,53.0,4867.0,0.183299
567,173.27.225.118,172.31.0.2,53.0,31751.0,0.239105
569,173.27.225.118,172.31.0.2,53.0,18966.0,0.075466
571,173.27.225.118,172.31.0.2,53.0,29859.0,0.000328
573,173.27.225.118,172.31.0.2,53.0,53841.0,0.001151
575,173.27.225.118,172.31.0.2,53.0,58733.0,0.022059
577,173.27.225.118,172.31.0.2,53.0,62471.0,0.006072
579,173.27.225.118,172.31.0.2,53.0,43301.0,0.00039
581,173.27.225.118,172.31.0.2,53.0,41388.0,0.002455
583,173.27.225.118,172.31.0.2,53.0,50413.0,0.000347
586,173.27.225.118,172.31.0.2,53.0,62657.0,0.033461
587,173.27.225.118,172.31.0.2,53.0,22224.0,0.037027
589,173.27.225.118,172.31.0.2,53.0,24102.0,0.002059
591,173.27.225.118,172.31.0.2,53.0,42176.0,0.036535
